appointment_timestamp,us_time,live_count
1614585600000,2021-03-01 00:00:00.0000,281
1614664800000,2021-03-01 22:00:00.0000,219
1614650400000,2021-03-01 18:00:00.0000,211
1614600000000,2021-03-01 04:00:00.0000,196
1614592800000,2021-03-01 02:00:00.0000,183
1614643200000,2021-03-01 16:00:00.0000,173
1614657600000,2021-03-01 20:00:00.0000,164
1614607200000,2021-03-01 06:00:00.0000,154
1614621600000,2021-03-01 10:00:00.0000,133
1614636000000,2021-03-01 14:00:00.0000,128
1615514400000,2021-03-11 18:00:00.0000,125
1615528800000,2021-03-11 22:00:00.0000,121
1614628800000,2021-03-01 12:00:00.0000,115
1614614400000,2021-03-01 08:00:00.0000,114
1615449600000,2021-03-11 00:00:00.0000,100
1615456800000,2021-03-11 02:00:00.0000,93
1615507200000,2021-03-11 16:00:00.0000,92
1615521600000,2021-03-11 20:00:00.0000,87
1615464000000,2021-03-11 04:00:00.0000,82
1616058000000,2021-03-18 02:00:00.0000,81
1616115600000,2021-03-18 18:00:00.0000,78
1616130000000,2021-03-18 22:00:00.0000,77
1616072400000,2021-03-18 06:00:00.0000,76
1616050800000,2021-03-18 00:00:00.0000,75
1615471200000,2021-03-11 06:00:00.0000,73
1616122800000,2021-03-18 20:00:00.0000,67
1616065200000,2021-03-18 04:00:00.0000,65
1615478400000,2021-03-11 08:00:00.0000,65
1615485600000,2021-03-11 10:00:00.0000,58
1616079600000,2021-03-18 08:00:00.0000,57
1616108400000,2021-03-18 16:00:00.0000,55
1615500000000,2021-03-11 14:00:00.0000,53
1615492800000,2021-03-11 12:00:00.0000,50
1614672000000,2021-03-02 00:00:00.0000,49
1614765600000,2021-03-03 02:00:00.0000,45
1614751200000,2021-03-02 22:00:00.0000,44
1614758400000,2021-03-03 00:00:00.0000,44
1614823200000,2021-03-03 18:00:00.0000,44
1616094000000,2021-03-18 12:00:00.0000,43
1614736800000,2021-03-02 18:00:00.0000,43
1616086800000,2021-03-18 10:00:00.0000,43
1614729600000,2021-03-02 16:00:00.0000,41
1614924000000,2021-03-04 22:00:00.0000,40
1614772800000,2021-03-03 04:00:00.0000,40
1614837600000,2021-03-03 22:00:00.0000,38
1614852000000,2021-03-04 02:00:00.0000,33
1615276800000,2021-03-09 00:00:00.0000,32
1614830400000,2021-03-03 20:00:00.0000,31
1614938400000,2021-03-05 02:00:00.0000,31
1614679200000,2021-03-02 02:00:00.0000,31
1616101200000,2021-03-18 14:00:00.0000,31
1614902400000,2021-03-04 16:00:00.0000,31
1615341600000,2021-03-09 18:00:00.0000,31
1614744000000,2021-03-02 20:00:00.0000,31
1614909600000,2021-03-04 18:00:00.0000,31
1614816000000,2021-03-03 16:00:00.0000,31
1614931200000,2021-03-05 00:00:00.0000,31
1615269600000,2021-03-08 22:00:00.0000,30
1614945600000,2021-03-05 04:00:00.0000,30
1615190400000,2021-03-08 00:00:00.0000,30
1614866400000,2021-03-04 06:00:00.0000,29
1614952800000,2021-03-05 06:00:00.0000,28
1615881600000,2021-03-16 01:00:00.0000,28
1614996000000,2021-03-05 18:00:00.0000,27
1614686400000,2021-03-02 04:00:00.0000,27
1614700800000,2021-03-02 08:00:00.0000,27
1615183200000,2021-03-07 22:00:00.0000,27
1615010400000,2021-03-05 22:00:00.0000,26
1614780000000,2021-03-03 06:00:00.0000,25
1615968000000,2021-03-17 01:00:00.0000,24
1614693600000,2021-03-02 06:00:00.0000,24
1615298400000,2021-03-09 06:00:00.0000,24
1615442400000,2021-03-10 22:00:00.0000,23
1615795200000,2021-03-15 01:00:00.0000,23
1614844800000,2021-03-04 00:00:00.0000,23
1614859200000,2021-03-04 04:00:00.0000,23
1614916800000,2021-03-04 20:00:00.0000,23
1615363200000,2021-03-10 00:00:00.0000,23
1615262400000,2021-03-08 20:00:00.0000,23
1615212000000,2021-03-08 06:00:00.0000,22
1616047200000,2021-03-17 23:00:00.0000,22
1617091200000,2021-03-30 01:00:00.0000,22
1616659200000,2021-03-25 01:00:00.0000,22
1616119200000,2021-03-18 19:00:00.0000,22
1616565600000,2021-03-23 23:00:00.0000,21
1615348800000,2021-03-09 20:00:00.0000,21
1615874400000,2021-03-15 23:00:00.0000,21
1616464800000,2021-03-22 19:00:00.0000,21
1614988800000,2021-03-05 16:00:00.0000,21
1615428000000,2021-03-10 18:00:00.0000,21
1616032800000,2021-03-17 19:00:00.0000,20
1615168800000,2021-03-07 18:00:00.0000,20
1615802400000,2021-03-15 03:00:00.0000,20
1615860000000,2021-03-15 19:00:00.0000,20
1615557600000,2021-03-12 06:00:00.0000,20
1615197600000,2021-03-08 02:00:00.0000,20
1615888800000,2021-03-16 03:00:00.0000,20
1615960800000,2021-03-16 23:00:00.0000,19
1616486400000,2021-03-23 01:00:00.0000,19
1616738400000,2021-03-25 23:00:00.0000,19
1615334400000,2021-03-09 16:00:00.0000,19
1614794400000,2021-03-03 10:00:00.0000,19
1615622400000,2021-03-13 00:00:00.0000,19
1616140800000,2021-03-19 01:00:00.0000,19
1614808800000,2021-03-03 14:00:00.0000,19
1615356000000,2021-03-09 22:00:00.0000,19
1615017600000,2021-03-06 00:00:00.0000,19
1615420800000,2021-03-10 16:00:00.0000,19
1615773600000,2021-03-14 19:00:00.0000,19
1616983200000,2021-03-28 19:00:00.0000,19
1615204800000,2021-03-08 04:00:00.0000,19
1615370400000,2021-03-10 02:00:00.0000,19
1615154400000,2021-03-07 14:00:00.0000,18
1616068800000,2021-03-18 05:00:00.0000,18
1615384800000,2021-03-10 06:00:00.0000,18
1615536000000,2021-03-12 00:00:00.0000,18
1615852800000,2021-03-15 17:00:00.0000,18
1616133600000,2021-03-18 23:00:00.0000,18
1615867200000,2021-03-15 21:00:00.0000,18
1616392800000,2021-03-21 23:00:00.0000,18
1615946400000,2021-03-16 19:00:00.0000,18
1615024800000,2021-03-06 02:00:00.0000,18
1615255200000,2021-03-08 18:00:00.0000,18
1614722400000,2021-03-02 14:00:00.0000,18
1615896000000,2021-03-16 05:00:00.0000,17
1615788000000,2021-03-14 23:00:00.0000,17
1617069600000,2021-03-29 19:00:00.0000,17
1617177600000,2021-03-31 01:00:00.0000,17
1614895200000,2021-03-04 14:00:00.0000,17
1615543200000,2021-03-12 02:00:00.0000,17
1614960000000,2021-03-05 08:00:00.0000,17
1616580000000,2021-03-24 03:00:00.0000,17
1616061600000,2021-03-18 03:00:00.0000,17
1615032000000,2021-03-06 04:00:00.0000,17
1616479200000,2021-03-22 23:00:00.0000,16
1615039200000,2021-03-06 06:00:00.0000,16
1615096800000,2021-03-06 22:00:00.0000,16
1615327200000,2021-03-09 14:00:00.0000,16
1615377600000,2021-03-10 04:00:00.0000,16
1615435200000,2021-03-10 20:00:00.0000,16
1616378400000,2021-03-21 19:00:00.0000,16
1615291200000,2021-03-09 04:00:00.0000,16
1615068000000,2021-03-06 14:00:00.0000,16
1616148000000,2021-03-19 03:00:00.0000,16
1616220000000,2021-03-19 23:00:00.0000,16
1616724000000,2021-03-25 19:00:00.0000,16
1615593600000,2021-03-12 16:00:00.0000,15
1616997600000,2021-03-28 23:00:00.0000,15
1615910400000,2021-03-16 09:00:00.0000,15
1616745600000,2021-03-26 01:00:00.0000,15
1615284000000,2021-03-09 02:00:00.0000,15
1615392000000,2021-03-10 08:00:00.0000,15
1615176000000,2021-03-07 20:00:00.0000,15
1616457600000,2021-03-22 17:00:00.0000,15
1616515200000,2021-03-23 09:00:00.0000,15
1615248000000,2021-03-08 16:00:00.0000,15
1615766400000,2021-03-14 17:00:00.0000,15
1616407200000,2021-03-22 03:00:00.0000,15
1615780800000,2021-03-14 21:00:00.0000,14
1614787200000,2021-03-03 08:00:00.0000,14
1615104000000,2021-03-07 00:00:00.0000,14
1615161600000,2021-03-07 16:00:00.0000,14
1616040000000,2021-03-17 21:00:00.0000,14
1615982400000,2021-03-17 05:00:00.0000,14
1617012000000,2021-03-29 03:00:00.0000,14
1617084000000,2021-03-29 23:00:00.0000,14
1615989600000,2021-03-17 07:00:00.0000,14
1616205600000,2021-03-19 19:00:00.0000,14
1615240800000,2021-03-08 14:00:00.0000,14
1616083200000,2021-03-18 09:00:00.0000,14
1617163200000,2021-03-30 21:00:00.0000,14
1616414400000,2021-03-22 05:00:00.0000,13
1616493600000,2021-03-23 03:00:00.0000,13
1616940000000,2021-03-28 07:00:00.0000,13
1615226400000,2021-03-08 10:00:00.0000,13
1615615200000,2021-03-12 22:00:00.0000,13
1616752800000,2021-03-26 03:00:00.0000,13
1615003200000,2021-03-05 20:00:00.0000,13
1615932000000,2021-03-16 15:00:00.0000,13
1616508000000,2021-03-23 07:00:00.0000,13
1615125600000,2021-03-07 06:00:00.0000,13
1615816800000,2021-03-15 07:00:00.0000,13
1615939200000,2021-03-16 17:00:00.0000,13
1615701600000,2021-03-13 22:00:00.0000,13
1616018400000,2021-03-17 15:00:00.0000,13
1616666400000,2021-03-25 03:00:00.0000,13
1614880800000,2021-03-04 10:00:00.0000,13
1616673600000,2021-03-25 05:00:00.0000,12
1615600800000,2021-03-12 18:00:00.0000,12
1615219200000,2021-03-08 08:00:00.0000,12
1616428800000,2021-03-22 09:00:00.0000,12
1616630400000,2021-03-24 17:00:00.0000,12
1616688000000,2021-03-25 09:00:00.0000,12
1617249600000,2021-03-31 21:00:00.0000,12
1616076000000,2021-03-18 07:00:00.0000,12
1616198400000,2021-03-19 17:00:00.0000,12
1616572800000,2021-03-24 01:00:00.0000,12
1617141600000,2021-03-30 15:00:00.0000,12
1614801600000,2021-03-03 12:00:00.0000,12
1615550400000,2021-03-12 04:00:00.0000,12